employee_id,is_insider_threat,threat_pattern,notes
EMP093,False,None,Normal behavior profile.
EMP094,False,None,Normal behavior profile.
EMP095,False,None,Normal behavior profile.
EMP096,False,None,Normal behavior profile.
EMP097,False,None,Normal behavior profile.
EMP098,False,None,Normal behavior profile.
EMP099,False,None,Normal behavior profile.
EMP100,False,None,Normal behavior profile.
EMP101,False,None,Normal behavior profile.
EMP102,True,USB Theft,"Employee uploaded large backup files to mega.io during off-hours, and transferred logs to a USB device."
EMP103,False,None,Normal behavior profile.
EMP104,False,None,Normal behavior profile.
EMP105,False,None,Normal behavior profile.
EMP106,False,None,Normal behavior profile.
EMP107,False,None,Normal behavior profile.
EMP108,False,None,Normal behavior profile.
EMP109,False,None,Normal behavior profile.
EMP110,False,None,Normal behavior profile.
EMP111,False,None,Normal behavior profile.
EMP112,False,None,Normal behavior profile.
EMP113,False,None,Normal behavior profile.
EMP114,False,None,Normal behavior profile.
EMP115,False,None,Normal behavior profile.
EMP116,False,None,Normal behavior profile.
EMP117,False,None,Normal behavior profile.
EMP118,False,None,Normal behavior profile.
EMP119,False,None,Normal behavior profile.
EMP120,False,None,Normal behavior profile.
EMP121,False,None,Normal behavior profile.
EMP122,False,None,Normal behavior profile.
EMP123,False,None,Normal behavior profile.
EMP124,False,None,Normal behavior profile.
EMP125,False,None,Normal behavior profile.
EMP126,False,None,Normal behavior profile.
EMP127,False,None,Normal behavior profile.
EMP128,False,None,Normal behavior profile.
EMP129,False,None,Normal behavior profile.
EMP130,False,None,Normal behavior profile.
EMP131,False,None,Normal behavior profile.
EMP132,False,None,Normal behavior profile.
EMP133,False,None,Normal behavior profile.
EMP134,False,None,Normal behavior profile.
EMP135,False,None,Normal behavior profile.
EMP136,False,None,Normal behavior profile.
EMP137,False,None,Normal behavior profile.
EMP138,False,None,Normal behavior profile.
EMP139,False,None,Normal behavior profile.
EMP140,False,None,Normal behavior profile.
EMP141,False,None,Normal behavior profile.
EMP142,False,None,Normal behavior profile.
EMP143,False,None,Normal behavior profile.
EMP144,False,None,Normal behavior profile.
EMP145,True,Midnight Login,"Employee spending office hours on job search, downloaded core AI repo, and performed unauthorized midnight logins."
EMP146,False,None,Normal behavior profile.
EMP147,False,None,Normal behavior profile.
EMP148,False,None,Normal behavior profile.
EMP149,False,None,Normal behavior profile.
EMP150,False,None,Normal behavior profile.
